Intent,Query
skip_ai,Skript Evolutionsbiologie
trigger_ai,explain what a bacteriophage is and how it infects bacteria
skip_ai,Übungsblatt Mikrobiologie
trigger_ai,was ist ein Plasmid und wie wird es in der Biotechnologie genutzt
trigger_ai,explain the process of bacterial transformation
skip_ai,Klausur Mikrobiologie
trigger_ai,was ist allopatrische Speziation und wie entsteht eine neue Art
skip_ai,Lösungen Evolutionsbiologie
trigger_ai,explain how the respiratory system works at a molecular level
trigger_ai,was ist der Unterschied zwischen aerober und anaerober Atmung
skip_ai,Aufgaben Physiologie
trigger_ai,explain what a cytoskeleton does in a cell
skip_ai,Skript Zellbiologie Kapitel 7
trigger_ai,how does vesicle transport work in the endomembrane system
trigger_ai,was ist Osmose und wie funktioniert sie in Zellen
skip_ai,Klausur Zellbiologie
trigger_ai,explain what linkage disequilibrium is in genetics
skip_ai,Lösungen Genetik Blatt 3
trigger_ai,what is a chromosomal inversion and what effect can it have
trigger_ai,erkläre mir was Chromosomenaberration bedeutet
skip_ai,Übungsblatt Humangenetik
trigger_ai,explain how the blood brain barrier works
skip_ai,Skript Neurobiologie 2
trigger_ai,was ist der Unterschied zwischen exzitatorischen und inhibitorischen Synapsen
trigger_ai,explain what long-term potentiation is
skip_ai,Klausur Neurobiologie
trigger_ai,what is the difference between a hormone and a neurotransmitter
skip_ai,Lösungen Physiologie Blatt 2
trigger_ai,explain what oncogenes and tumor suppressor genes are
trigger_ai,explain what the CAPM model says about expected returns
skip_ai,BWL Klausur SS24
trigger_ai,was ist der Unterschied zwischen systematischem und unsystematischem Risiko
skip_ai,Lösungen BWL Blatt 4
trigger_ai,explain what hedging means in finance
trigger_ai,was ist Beta in der Finanzwirtschaft
skip_ai,Vorlesungsfolien Finanzwirtschaft
trigger_ai,explain what a futures contract is
skip_ai,Übungsblatt Finanzmärkte
trigger_ai,was ist der Unterschied zwischen Derivaten und zugrunde liegenden Vermögenswerten
trigger_ai,explain Modern Portfolio Theory and what diversification achieves
skip_ai,Klausur Investition und Finanzierung
trigger_ai,was ist IFRS und wie unterscheidet es sich von GAAP
skip_ai,Skript Rechnungslegung
trigger_ai,explain the different depreciation methods and their effects
trigger_ai,was versteht man unter Revenue Recognition nach IFRS 15
skip_ai,Lösungen Rechnungslegung
trigger_ai,explain what a SWOT analysis is and how to use it strategically
skip_ai,Hausarbeit BWL Beispiel
trigger_ai,what is the BCG matrix and what does each quadrant mean
trigger_ai,erkläre mir Wertkettenanalyse nach Porter
skip_ai,Klausur Strategisches Management
trigger_ai,explain what queuing theory is and where it applies in practice
skip_ai,Übungsblatt Operations Management
trigger_ai,was ist Just-in-Time Produktion und was sind seine Risiken
trigger_ai,explain what Six Sigma means and how the DMAIC cycle works
skip_ai,Lösungen Operations Management
trigger_ai,what is the bullwhip effect in supply chains
trigger_ai,erkläre mir was SEO ist und wie Suchmaschinen Seiten ranken
skip_ai,Skript Digital Marketing
trigger_ai,explain what a conversion funnel is in digital marketing
trigger_ai,was ist Kundensegmentierung und wie macht man sie
skip_ai,Klausur Marketing
trigger_ai,explain what a net promoter score is
trigger_ai,was versteht man unter Customer Lifetime Value
trigger_ai,explain what Kuhns paradigm shift theory says about scientific revolutions
skip_ai,Seminar Sitzung 6
trigger_ai,was ist Poppers Falsifikationismus
skip_ai,Klausur Wissenschaftstheorie
trigger_ai,explain what liberalism is in political philosophy
trigger_ai,was ist Kommunitarismus und wie kritisiert er den Liberalismus
skip_ai,Pflichtlektüre Politische Philosophie
trigger_ai,explain Rawls theory of justice as fairness
skip_ai,Seminararbeit Thema Philosophie
trigger_ai,was ist der Unterschied zwischen direkter und repräsentativer Demokratie
trigger_ai,explain Durkheims concept of anomie
skip_ai,Lektürenliste Soziologie
trigger_ai,was ist soziale Schichtung und wie misst man sie
skip_ai,Referat Soziologie
trigger_ai,explain what social mobility means and what factors affect it
trigger_ai,was ist der Unterschied zwischen qualitativer Inhaltsanalyse und Diskursanalyse
skip_ai,Hausarbeit Soziologie Vorlage
trigger_ai,explain what new criticism in literary theory focuses on
skip_ai,Seminar Lektüre 9
trigger_ai,was ist Reader-Response-Theorie in der Literaturwissenschaft
trigger_ai,explain what feminist criticism looks for in texts
skip_ai,Klausur Literaturtheorie
trigger_ai,was ist Ikonographie in der Kunstgeschichte
skip_ai,Skript Kunstgeschichte
trigger_ai,explain the difference between modernism and postmodernism in art
trigger_ai,was ist Säkularisierungstheorie in der Religionswissenschaft
skip_ai,Lektüre Religionswissenschaft
trigger_ai,explain what comparative religion studies
skip_ai,Seminar Kunstgeschichte Folien
trigger_ai,was ist das Konzept der Liminalität in der Anthropologie
trigger_ai,explain what rites of passage are across cultures
skip_ai,Klausur Anthropologie
trigger_ai,was ist Strukturfunktionalismus nach Parsons
skip_ai,Hausarbeit Anthropologie Vorlage
trigger_ai,explain what symbolic interactionism says about social reality
skip_ai,Vorlesung 12
skip_ai,Blatt 26
skip_ai,Exercise 15
skip_ai,Übung 14
skip_ai,HW8
skip_ai,lec11
skip_ai,ex6
skip_ai,sol9
skip_ai,Assignment 13
skip_ai,Klausur 2019
skip_ai,Probeklausur WS24
skip_ai,Altklausur 2018
skip_ai,Lernmaterial Woche 10
skip_ai,Vorlesungsfolien KW 16
skip_ai,Übungsblatt 29
skip_ai,Lösungen Blatt 25
skip_ai,Aufgabenblatt 19
skip_ai,Skript Kapitel 11
skip_ai,Kapitel 12 Folien
skip_ai,Musterlösung Blatt 20
skip_ai,Semesterplan
skip_ai,Notenspiegel
skip_ai,Punktestand
skip_ai,Zoom Passwort
skip_ai,Einschreibung Kurs
skip_ai,Warteliste
skip_ai,Kurskapazität
skip_ai,Raumplan
skip_ai,Campusplan
skip_ai,Bibliothek Öffnungszeiten
skip_ai,Drucken Campus
skip_ai,VPN Anleitung
skip_ai,WLAN Zugangsdaten
skip_ai,IT Support
skip_ai,Passwort zurücksetzen
skip_ai,Lernraum buchen
skip_ai,Gruppenraum reservieren
skip_ai,Semesterticket
skip_ai,Immatrikulationsbescheinigung
skip_ai,Transcript of Records
skip_ai,Beurlaubung
skip_ai,Praktikumsbescheinigung
skip_ai,Notenbescheinigung
skip_ai,Anmeldung Pflichtpraktikum
skip_ai,BAföG Antrag
trigger_ai,wat even is a manifold i thought it was a car part
trigger_ai,how comes python is slow if its so popular
trigger_ai,erklär mir doch mal einfach was ein Eigenwert ist ohne Mathe
trigger_ai,i still dont get why we use logarithms like whats the actual point
trigger_ai,warum ist es wichtig dass Algorithmen deterministisch sind
trigger_ai,can u explain what runtime polymorphism actually means step by step
trigger_ai,ich hab keine Ahnung was ein Kondensator ist bitte einfach erklären
trigger_ai,why cant you just have infinite memory like whats a heap overflow
trigger_ai,was ist nochmal der Unterschied zwischen == und .equals() in Java
trigger_ai,explain what the heck a p value is in plain english pls
trigger_ai,warum braucht man eigentlich abstrakte Klassen wenn man Interfaces hat
trigger_ai,im completely lost on what a mutex does can u eli5
trigger_ai,wie funktioniert das eigentlich wenn man eine Funktion in Python returned
trigger_ai,why do we need pointers if pass by value exists
trigger_ai,erkläre mir was Regularisierung ist ohne dass ich einschlafe
trigger_ai,what even is an operating system doing all the time
trigger_ai,kann jemand erklären was SQL-Injections sind wie in einem Film
trigger_ai,how is blockchain different from just a database i dont get it
trigger_ai,i get that DNA has ATCG but what does double helix actually mean
trigger_ai,warum wird bei Python mit def eine Funktion definiert und nicht function
skip_ai,Übungsblatt30
skip_ai,klausur2025
skip_ai,lec12
skip_ai,blatt28
skip_ai,hw9
skip_ai,sol11
skip_ai,ex8
skip_ai,blatt29
skip_ai,lec13
skip_ai,Assignment14
trigger_ai,please someone explain activation functions i give up
trigger_ai,warum ist Haskell pure functional und was bedeutet das überhaupt
trigger_ai,i thought null pointer was a java thing but c has it too explain
trigger_ai,was passiert wenn man zwei Strings in Java mit + verbindet warum ist das langsam
trigger_ai,explain why copying an object is sometimes deep and sometimes shallow
trigger_ai,macht es einen Unterschied ob ich i++ oder ++i im for-loop schreibe
trigger_ai,why is floating point arithmetic broken like 0.1 plus 0.2 is not 0.3
trigger_ai,erkläre mir warum man bei REST idempotente Methoden braucht
trigger_ai,is python really interpreted or does it compile to bytecode first
trigger_ai,was ist technisch gesehen der Unterschied zwischen throw und throws in Java
skip_ai,eigenvalue
skip_ai,Seminarplan
skip_ai,gradient
skip_ai,Aufgabenblatt
skip_ai,bandwidth
skip_ai,Gruppenarbeit
skip_ai,fermentation
skip_ai,Klausuranmeldung
skip_ai,refraction
skip_ai,Formelblatt
skip_ai,homeostasis
skip_ai,Altklausur
skip_ai,heuristic
skip_ai,depreciation
skip_ai,Modulhandbuch
skip_ai,decoherence
skip_ai,Übungsblatt
skip_ai,anomie
skip_ai,Gruppenraum
skip_ai,biofilm
skip_ai,Nachklausur
skip_ai,parallelism
trigger_ai,explain what the difference is between a process and a thread at the OS kernel level in terms of scheduling and memory
trigger_ai,ich versuche zu verstehen warum beim Training von LLMs so viel GPU-Speicher gebraucht wird kann jemand das aufschlüsseln
trigger_ai,so my friend said that monads are just burritos but i still dont get it can you explain without that analogy
trigger_ai,was ist eigentlich der Unterschied zwischen einem Algorithmus der NP-vollständig ist und einem der NP-schwer ist
trigger_ai,i've read three different explanations of the fourier transform and none of them made sense can you try a totally different analogy
trigger_ai,warum lernt das Modell beim maschinellen Lernen eigentlich irgendetwas ich meine was passiert mathematisch gesehen
skip_ai,Lösungen Blatt 27
skip_ai,Übungsblatt 31
trigger_ai,explain what game trees are in AI and how minimax works
trigger_ai,was ist Alpha-Beta-Pruning und wie beschleunigt es minimax
trigger_ai,how does the perceptron algorithm work and what are its limitations
trigger_ai,erkläre mir was ein Kernel in Machine Learning ist zum Beispiel beim SVM
trigger_ai,what is the kernel trick and why does it allow SVMs to work in high dimensions
trigger_ai,wie funktioniert K-Nearest-Neighbor und warum ist es langsam bei vielen Daten
trigger_ai,explain what a decision tree is and how it splits data
trigger_ai,was ist Random Forest und wie unterscheidet er sich von einem einzelnen Decision Tree
skip_ai,Skript ML Grundlagen
skip_ai,Klausur AI
trigger_ai,explain what boosting is in ensemble learning
trigger_ai,was ist der Unterschied zwischen Bagging und Boosting
trigger_ai,explain what t-SNE does for dimensionality reduction
trigger_ai,wie funktioniert UMAP und warum ist es schneller als t-SNE
trigger_ai,what is the difference between a generative and a discriminative model
trigger_ai,erkläre mir was Variational Inference ist
skip_ai,Lösungen AI Blatt
skip_ai,Tutorium ML
trigger_ai,explain what climate change means mechanistically
trigger_ai,was ist der Treibhauseffekt und welche Gase sind dafür verantwortlich
trigger_ai,how do solar panels convert light to electricity in detail
trigger_ai,erkläre mir was ein Kohlenstoffkreislauf ist
trigger_ai,what is the difference between weather and climate
trigger_ai,wie funktioniert eine Wärmepumpe
trigger_ai,explain what biodiversity loss means and why it matters
trigger_ai,was ist Eutrophierung und wie entsteht sie in Gewässern
trigger_ai,explain what a life cycle assessment is for a product
skip_ai,Klausur Umweltwissenschaften
skip_ai,Skript Nachhaltigkeit
trigger_ai,was ist der Unterschied zwischen einem Embedded System und einem normalen Computer
trigger_ai,explain what real-time systems are and what makes them hard to design
trigger_ai,was ist der Unterschied zwischen harten und weichen Echtzeitsystemen
trigger_ai,explain what an FPGA is and how it differs from a CPU
trigger_ai,wie funktioniert ein Interrupt in einem Microcontroller
skip_ai,Klausur Embedded Systems
skip_ai,Übungsblatt Echtzeitsysteme
trigger_ai,what is cognitive ergonomics and how does it relate to interface design
trigger_ai,explain what Fitts law says about UI design
trigger_ai,was ist das Prinzip der Affordanz in der HCI
trigger_ai,explain what usability testing involves
trigger_ai,was ist der Unterschied zwischen UX und UI
skip_ai,Skript Mensch-Maschine-Interaktion
skip_ai,Klausur HCI
trigger_ai,explain what accessibility means in software and why it matters
trigger_ai,was ist WCAG und welche Konformitätsstufen gibt es
trigger_ai,explain the difference between quantitative and qualitative usability evaluation
trigger_ai,was ist ein A/B Test und wie wertet man ihn aus
skip_ai,Übungsblatt HCI
skip_ai,Lösungen HCI Aufgaben
trigger_ai,explain what Conways law says about software architecture
trigger_ai,was ist technische Schuld und wie entsteht sie
trigger_ai,explain what domain driven design means
trigger_ai,was ist der Unterschied zwischen Event-Driven und Request-Response Architektur
skip_ai,Lösungsblatt 26
trigger_ai,explain what feature engineering is and why it matters in ML
skip_ai,Folien KW 17
trigger_ai,was ist der Unterschied zwischen Precision und Recall bei Suchmaschinen
skip_ai,Aufgabenblatt 21
trigger_ai,explain what a message queue is and when you would use one
skip_ai,Klausur Softwarearchitektur
trigger_ai,explain what formal verification is and how model checking works
trigger_ai,what is the difference between soundness and completeness in logic
trigger_ai,was ist lineare Typentheorie und warum ist sie wichtig für Sprachen wie Rust
trigger_ai,explain what SIMD instructions are and when they help performance
trigger_ai,explain what a futex is in Linux threading
trigger_ai,was ist der Unterschied zwischen einem monolithischen Kernel und einem Microkernel
trigger_ai,explain what zero-copy I/O means in systems programming
trigger_ai,what is a memory barrier and why do you need one in concurrent code
trigger_ai,erkläre mir was epoll ist und warum es besser als select ist
trigger_ai,explain what lock-free data structures are and how they work
trigger_ai,explain what exploratory data analysis involves step by step
trigger_ai,what is feature selection and what methods exist for it
trigger_ai,was ist der Unterschied zwischen forward und backward feature selection
trigger_ai,explain what ANOVA is and when to use it instead of a t-test
trigger_ai,what is multiple linear regression and how do you interpret the coefficients
trigger_ai,erkläre mir was Time Series Forecasting ist
trigger_ai,what is autocorrelation and why does it matter for time series models
trigger_ai,explain what ARIMA stands for and how it models time series
trigger_ai,explain what a confusion matrix is and what each cell means
trigger_ai,wie funktioniert K-Fold Cross Validation
trigger_ai,what is the elbow method for choosing K in K-means clustering
trigger_ai,erkläre mir was ein Viterbi-Algorithmus macht
trigger_ai,explain what precision-recall curves tell you that accuracy doesnt
trigger_ai,was ist der Unterschied zwischen Overfitting und Underfitting klar erklärt
trigger_ai,explain what a CRF model is in NLP
trigger_ai,explain what the spectral theorem says
trigger_ai,was ist algebraische Topologie auf hohem Level
trigger_ai,explain what a simplicial complex is
trigger_ai,what is homology in algebraic topology
trigger_ai,erkläre mir was Darstellungstheorie ist
trigger_ai,explain the four color theorem and whether it is really proved
trigger_ai,what is the Riemann hypothesis about
trigger_ai,erkläre mir was der Primzahlsatz sagt
trigger_ai,explain what Galois theory says about polynomials and roots
trigger_ai,explain what an Euler characteristic is in topology
trigger_ai,explain what a Feynman diagram represents in particle physics
trigger_ai,was ist Quantenfeldtheorie auf einem hohen Level
trigger_ai,explain what the Higgs mechanism is
trigger_ai,was ist der Unterschied zwischen starker schwacher und elektromagnetischer Kraft
trigger_ai,explain what cosmic inflation is
trigger_ai,was ist dunkle Energie und wie unterscheidet sie sich von dunkler Materie
trigger_ai,explain what gravitational waves are and how LIGO detects them
trigger_ai,was ist der Unterschied zwischen einem Weißen Zwerg und einem Neutronenstern
trigger_ai,explain what Hawking radiation is
trigger_ai,was ist Quantengravitation und warum ist sie noch ungeklärt
trigger_ai,explain what the CRISPR base editing technique is
trigger_ai,was ist synthetische Biologie
trigger_ai,explain what metagenomics is
trigger_ai,what is the microbiome and how does it affect health
trigger_ai,erkläre mir was Proteomik ist
trigger_ai,explain what single-cell RNA sequencing reveals
trigger_ai,was ist GWAS in der Genomik
trigger_ai,explain what a phylogenetic tree shows
trigger_ai,explain what organ-on-a-chip technology is
trigger_ai,was ist der Unterschied zwischen monoklonalem und polyklonalem Antikörper
trigger_ai,explain what mechanism design is in economics
trigger_ai,was ist Auktionstheorie und welche Auktionstypen gibt es
trigger_ai,explain what behavioral economics studies
trigger_ai,was ist das Konzept der Prospect Theory
trigger_ai,explain what a principal-agent problem is
trigger_ai,was ist Nudging in der Verhaltensökonomik
trigger_ai,explain what venture capital is and how startups get funded in rounds
trigger_ai,was ist der Unterschied zwischen Angel Investor und Venture Capital
trigger_ai,explain what an IPO is and what the process involves
trigger_ai,was versteht man unter Kapitalstruktur eines Unternehmens
trigger_ai,explain what transfer pricing is in multinational companies
trigger_ai,was ist das Konzept der Sunk Cost und warum ignoriert man sie rational
trigger_ai,explain what externalities are in economics and give examples
trigger_ai,explain what a leveraged buyout is
trigger_ai,was ist der Unterschied zwischen Nominalzins und Effektivzins
trigger_ai,explain what epistemology studies
trigger_ai,was ist Metaphysik und womit beschäftigt sie sich
trigger_ai,explain the problem of induction in philosophy
trigger_ai,was ist der Unterschied zwischen Rationalismus und Empirismus
trigger_ai,explain what formal logic and propositional logic are
trigger_ai,was ist Husserls Begriff der Intentionalität
trigger_ai,explain what Hegelian dialectic means
trigger_ai,was ist der Unterschied zwischen analytischer und kontinentaler Philosophie
trigger_ai,explain what nihilism is as a philosophical position
trigger_ai,was ist Existenzialismus nach Sartre
trigger_ai,explain what the naturalistic fallacy is
trigger_ai,was ist der Gesellschaftsvertrag bei Rousseau
trigger_ai,explain what stoicism advocates for
trigger_ai,explain what phonology studies in linguistics
trigger_ai,was ist Morphologie in der Linguistik
trigger_ai,explain what a syntax tree is in linguistics
trigger_ai,what is pragmatics in linguistics and how does it differ from semantics
trigger_ai,erkläre mir was Deixis ist in der Sprachwissenschaft
trigger_ai,explain what code-switching is sociolinguistically
trigger_ai,was ist der Unterschied zwischen langue und parole nach Saussure
trigger_ai,explain what the cooperative principle says about conversation
trigger_ai,how do I submit my assignment on Artemis
trigger_ai,what does the automatic grading on Artemis check for
trigger_ai,why did my Artemis submission fail even though the code works locally
trigger_ai,wie funktioniert die automatische Bewertung in Artemis
trigger_ai,what is the difference between TUMOnline and Moodle for course management
trigger_ai,how do I register for an exam on TUMOnline step by step
trigger_ai,why is my grade not showing up in TUMOnline yet
trigger_ai,wie lade ich eine Hausarbeit auf Moodle hoch
trigger_ai,what does it mean when my Artemis test cases are shown as red
trigger_ai,how does plagiarism detection on Artemis work
trigger_ai,kann ich meine Abgabe auf Artemis nach der Deadline noch ändern
trigger_ai,how do I join a team on Artemis for a group exercise
trigger_ai,explain what the observer pattern is in software design
trigger_ai,was ist der Unterschied zwischen Factory und Abstract Factory Pattern
trigger_ai,explain what dependency inversion principle means in SOLID
trigger_ai,was ist Event Sourcing und wie unterscheidet es sich von normaler Datenspeicherung
trigger_ai,explain what CQRS stands for and why you would use it
trigger_ai,was ist der Unterschied zwischen optimistischem und pessimistischem Locking in Datenbanken
trigger_ai,explain what a circuit breaker pattern is in microservices
trigger_ai,was ist Service Mesh und wofür nutzt man Istio
trigger_ai,explain what chaos engineering is
trigger_ai,was ist der Unterschied zwischen einem Monolith und einem Distributed Monolith
trigger_ai,explain what pharmacokinetics means
trigger_ai,was ist der Unterschied zwischen einem Agonisten und einem Antagonisten an Rezeptoren
trigger_ai,explain what clinical trial phases 1 2 and 3 mean
trigger_ai,what is evidence-based medicine
trigger_ai,explain what contract law requires for a valid contract to exist
trigger_ai,was ist der Unterschied zwischen Strafrecht und Zivilrecht
trigger_ai,explain what attachment theory says about child development
trigger_ai,was ist Piagets Stufentheorie der kognitiven Entwicklung
trigger_ai,explain what Vygotskys zone of proximal development is
trigger_ai,was ist der Unterschied zwischen CBT und psychoanalytischer Therapie
trigger_ai,explain what Gestalt principles of perception are
trigger_ai,was ist top-down vs bottom-up processing in der Wahrnehmung
trigger_ai,explain what the Paris Agreement commits countries to doing
trigger_ai,was ist die Circular Economy
trigger_ai,explain what the tragedy of the commons is
trigger_ai,explain wut a deadlock is ive been studying for 2 hours and still dont get it
trigger_ai,warum sind Eigenwerte eigentlich wichtig ich lern gerade für Mathe Klausur
trigger_ai,someone explain recursion base case i keep getting stack overflow error please
trigger_ai,wie ist das mit Polymorphismus in Java ich versuch es gerade zu verstehen
trigger_ai,bro what even is a monad just explain it simply no jargon
trigger_ai,warum braucht man einen Iterator wenn man einfach einen Index nehmen kann
trigger_ai,what IS entropy like can you explain it without starting with thermodynamics
trigger_ai,ich versteh nicht was abstrakt an abstrakten Klassen ist bitte erklären
trigger_ai,explain why twos complement is used for negative numbers in computers
trigger_ai,warum verursacht globale Erwärmung sowohl mehr Hitze als auch mehr Überschwemmungen
trigger_ai,kann man mit KI wirklich Krebs diagnostizieren und wie funktioniert das
trigger_ai,explain why sorting has an Omega n log n lower bound can you prove that
trigger_ai,why does my program use more memory over time is that always a memory leak
trigger_ai,was ist eigentlich der Sinn von objektorientierter Programmierung warum nicht einfach alles in main
trigger_ai,explain what boosting algorithms like XGBoost do differently than random forests
skip_ai,Lecture 6
skip_ai,Vorlesung 13
skip_ai,Lecture Week 4
skip_ai,Video Lecture Unit 3
skip_ai,Einheit 5 Video
skip_ai,Recording Session 2
skip_ai,Intro Lecture
skip_ai,Week 8 Slides
skip_ai,Module 3 Video
skip_ai,Guest Lecture Recording
skip_ai,Recap Lecture Week 7
skip_ai,Supplementary Lecture 2
skip_ai,Live Session 4
skip_ai,Lecture Notes Unit 5
skip_ai,Lecture 14
skip_ai,Vorlesung 14
skip_ai,Lecture 15
skip_ai,Vorlesung 15
skip_ai,Week 10 Lecture
skip_ai,Lecture Slides Week 11
skip_ai,Vorlesung 16
skip_ai,Einheit 7
skip_ai,Einheit 8
skip_ai,Week 12 Video
skip_ai,Session 5 Recording
skip_ai,Einführungsvideo
skip_ai,Willkommensvideo
skip_ai,Kurseinstieg
skip_ai,Übersichtsvideo Modul 2
skip_ai,Vorlesung Kapitel 4
skip_ai,Lecture Chapter 7
skip_ai,Algorithms Lecture 5
skip_ai,Machine Learning Lecture Week 4
skip_ai,Database Systems Lecture 3
skip_ai,Linear Algebra Lecture 8
skip_ai,Physics Lecture 11
skip_ai,Organic Chemistry Lecture 8
skip_ai,Introduction to Programming Lecture 4
skip_ai,Statistics Lecture Week 9
skip_ai,Calculus Lecture Week 6
skip_ai,Software Engineering Lecture 7
skip_ai,Computer Networks Lecture 5
skip_ai,Data Structures Lecture 10
skip_ai,Operating Systems Lecture 6
skip_ai,Artificial Intelligence Lecture 8
skip_ai,Discrete Mathematics Lecture 9
skip_ai,Numerics Lecture 4
skip_ai,Theoretical Computer Science Lecture 3
skip_ai,Signal Processing Lecture 7
skip_ai,Embedded Systems Lecture 2
skip_ai,Computer Vision Lecture 5
skip_ai,Natural Language Processing Lecture 6
skip_ai,Robotics Lecture 4
skip_ai,Quantum Computing Lecture 3
skip_ai,Bioinformatics Lecture 7
skip_ai,Molecular Biology Lecture 9
skip_ai,Genetics Lecture 6
skip_ai,Biochemistry Lecture 5
skip_ai,Ecology Lecture 3
skip_ai,Exercise 16
skip_ai,Übungsblatt 32
skip_ai,Problem Set 5
skip_ai,Worksheet 4
skip_ai,Exercise Sheet 6
skip_ai,Blatt 31
skip_ai,HW10
skip_ai,ex9
skip_ai,Lab 7
skip_ai,Tutorial Sheet 3
skip_ai,Practice Problems Week 8
skip_ai,Übung 15
skip_ai,Exercise 17
skip_ai,Übungsblatt 33
skip_ai,Blatt 32
skip_ai,HW11
skip_ai,ex10
skip_ai,Lab 8
skip_ai,Übung 16
skip_ai,Problem Sheet 6
skip_ai,Exercise 18
skip_ai,Übungsblatt 34
skip_ai,Blatt 33
skip_ai,HW12
skip_ai,Lab 9
skip_ai,Übung 17
skip_ai,Exercise 19
skip_ai,Tutorial 5
skip_ai,Lab Manual Chapter 4
skip_ai,Worksheet 5
skip_ai,Practice Set 3
skip_ai,Problem Sheet 7
skip_ai,Machine Learning Exercise 4
skip_ai,Database Exercise 5
skip_ai,Linear Algebra Homework 8
skip_ai,Physics Lab 6
skip_ai,Chemistry Exercise 3
skip_ai,Programming Exercise 9
skip_ai,Statistics Worksheet 5
skip_ai,Calculus Problem Set 7
skip_ai,Software Engineering Lab 3
skip_ai,Algorithms Exercise 6
skip_ai,Data Structures Lab 5
skip_ai,Networks Exercise 4
skip_ai,OS Lab 3
skip_ai,AI Exercise 7
skip_ai,Computer Vision Lab 2
skip_ai,NLP Exercise 4
skip_ai,Numerics Lab 3
skip_ai,Signal Processing Exercise 5
skip_ai,Bonus Aufgabe 3
skip_ai,Bonus Exercise 4
skip_ai,Freiwillige Aufgabe 2
skip_ai,Optional Exercise 3
skip_ai,Zusatzaufgabe 2
skip_ai,Übungsaufgaben Kapitel 9
skip_ai,Aufgaben Kapitel 10
skip_ai,Practice Problems Chapter 5
skip_ai,Review Exercises Chapter 6
skip_ai,Semester Project Part 1
skip_ai,Lösungen Übungsblatt 31
skip_ai,Solutions Exercise 16
skip_ai,Musterlösung Blatt 30
skip_ai,Answer Key Week 8
skip_ai,Lösungsblatt 28
skip_ai,Lösungen Blatt 31
skip_ai,Musterlösung Übung 14
skip_ai,Solutions Problem Set 5
skip_ai,Lösungen Aufgabe 5
skip_ai,Exercise 16 Solutions
skip_ai,Lösungen Blatt 32
skip_ai,Musterlösung Übungsblatt 33
skip_ai,Solutions Homework 10
skip_ai,Answer Key Lab 7
skip_ai,Lösungen Bonus Aufgabe 2
skip_ai,ML Exercise 4 Solutions
skip_ai,Physics Lab 5 Solutions
skip_ai,Statistics Worksheet 4 Solutions
skip_ai,Algorithm Exercise 5 Solutions
skip_ai,Solution Video Week 8
skip_ai,Musterlösungsvideo Übung 13
skip_ai,Lösungsskizze Blatt 29
skip_ai,Lösungen Kapitel 7 Übungen
skip_ai,Sample Solution Exercise 15
skip_ai,Worked Example Sheet 4
skip_ai,Midterm 2021
skip_ai,Final Exam 2022
skip_ai,Quiz 3
skip_ai,Practice Exam Set 2
skip_ai,Sample Questions Chapter 4
skip_ai,Klausur 2018
skip_ai,Probeklausur Mathe 2023
skip_ai,Altklausur 2017
skip_ai,Midterm Solutions 2022
skip_ai,Final Exam Practice Materials
skip_ai,Klausur 2016
skip_ai,Probeklausur SS24 Informatik
skip_ai,Altklausur WS19
skip_ai,Quiz 4
skip_ai,Quiz Solutions Week 9
skip_ai,Klausurvorbereitung Material
skip_ai,Sample Exam 2020
skip_ai,Practice Test Chapter 7
skip_ai,Old Exam 2015
skip_ai,Klausur 2014
skip_ai,Probeklausur Physik 2024
skip_ai,Altklausur Mathe WS20
skip_ai,Mock Exam Set 3
skip_ai,Exam 2019 Solutions
skip_ai,Midterm Practice 2023
skip_ai,Chapter 9 Slides
skip_ai,Reading Week 7
skip_ai,Handout Session 3
skip_ai,Course Formula Sheet
skip_ai,Reference Sheet Exam
skip_ai,Supplementary Material Chapter 4
skip_ai,Additional Resources Week 6
skip_ai,Lecture Script Chapter 5
skip_ai,Course Notes Module 2
skip_ai,Course Overview Video
skip_ai,Semester Overview
skip_ai,Project Description
skip_ai,Grading Rubric
skip_ai,Submission Guidelines
skip_ai,Collaboration Policy
skip_ai,Einführungsvorlesung
skip_ai,Kursübersicht
skip_ai,Projektbeschreibung
skip_ai,Bewertungsschema
skip_ai,Abgaberichtlinien
skip_ai,Lernziele Einheit 3
skip_ai,Themenübersicht
skip_ai,Textbook Chapter 8
skip_ai,Recommended Reading Week 4
skip_ai,Summary Notes Chapter 7
skip_ai,lec14
skip_ai,lec15
skip_ai,blatt31
skip_ai,blatt32
skip_ai,hw10
skip_ai,hw11
skip_ai,ex11
skip_ai,ex12
skip_ai,sol12
skip_ai,blatt33
skip_ai,lec16
skip_ai,blatt34
skip_ai,hw12
skip_ai,ex13
skip_ai,sol13
skip_ai,unit4
skip_ai,unit5
skip_ai,ch5
skip_ai,ch6
skip_ai,mod3
skip_ai,wk8
skip_ai,wk9
skip_ai,lab6
skip_ai,lab7
skip_ai,tut3
skip_ai,tut4
skip_ai,ps5
skip_ai,ws4
skip_ai,wo sind die Folien von letzter Woche
skip_ai,die Zusammenfassung von Kapitel 3
skip_ai,aktuelles Übungsblatt
skip_ai,Aufgabenblatt der letzten Übung
skip_ai,die Lösungen zur letzten Übung
skip_ai,nächstes Übungsblatt
skip_ai,Folien Einheit 9
skip_ai,Lösungen Einheit 8
skip_ai,Video zur Vorlesung letzte Woche
skip_ai,Mitschrift Vorlesung Montag
skip_ai,Übungsblatt nächste Woche
